t_start,t_end,window_size,N,logM,logMmax,I,rules,method,combo_dir,seed_base,run_timestamp,window_size_seconds
1538139661,1538744461,604800,589,3137.5138552873386,3137.5138552873386,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1538744461,1539349261,604800,627,3398.2843461743805,3398.2843461743805,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1539349261,1539954061,604800,573,3047.5658676164576,3047.5658676164576,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1539954061,1540558861,604800,573,3045.08096096667,3045.08096096667,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1540558861,1541163661,604800,595,3184.2554848028103,3184.2554848028103,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1541163661,1541768461,604800,611,3279.649699824975,3279.649699824975,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1541768461,1542373261,604800,610,3277.3934859491637,3277.3934859491637,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1542373261,1542978061,604800,517,2700.9334370166416,2700.9334370166416,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1542978061,1543582861,604800,587,3132.788786250056,3132.788786250056,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1543582861,1544187661,604800,592,3164.4017024983445,3164.4017024983445,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1544187661,1544792461,604800,534,2809.522261793035,2809.522261793035,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1544792461,1545397261,604800,619,3345.0098506038134,3345.0098506038134,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
